"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"333",1,NA,1996,14,NA,247.85,295.41,269.64,1348.03,2517.55,NA,NA,2,4,6,8,10,14
"455",2,16.3361111111111,1983,23,625.95,901.51,NA,NA,NA,NA,NA,12,15,17,19,21,23,27
"77",3,NA,1994,16,35.1,57.28,67.88,83.46,84.23,169.37,NA,1,4,6,8,10,12,16
"148",4,NA,1997,13,NA,62.74,63.71,74.9,112.13,NA,502.79,NA,1,3,5,7,9,13
"227",5,18.2055555555556,1983,27,NA,NA,NA,NA,440.11,3371.44,10304.25,12,15,17,19,21,23,27
"197",6,NA,1995,15,35.1,NA,67.88,NA,NA,99.87,540.23,0,3,5,7,9,11,15
"385",7,NA,1995,15,NA,NA,NA,572.45,2054.83,3468.52,NA,0,3,5,7,9,11,15
"184",8,22.6472222222222,1985,25,40.95,54.55,318.98,269.64,84.23,3916.8,12527.68,10,13,15,17,19,21,25
"36",9,NA,1996,14,NA,73.27,60.44,70.62,84.23,109.61,518.14,NA,2,4,6,8,10,14
"314",10,21.7944444444444,1986,24,37.05,54.55,74.87,237.54,611.23,1430.11,835.47,9,12,14,16,18,20,24
"483",11,NA,1977,29,NA,247.85,NA,NA,NA,NA,NA,18,21,23,25,27,29,33
"340",12,18.5527777777778,1977,33,261.95,538.93,60.44,70.62,NA,NA,NA,18,21,23,25,27,29,33
"419",13,15.9166666666667,1982,24,NA,NA,NA,1022.92,1331.89,NA,NA,13,16,18,20,22,24,28
"393",14,17.075,1979,31,40.95,NA,NA,NA,NA,NA,NA,16,19,21,23,25,27,31
"246",15,15.4277777777778,1988,22,171.6,127.48,339.44,632.37,1322.98,592.82,639.36,7,10,12,14,16,18,22
"484",16,25,1970,36,96.2,131.77,165.22,NA,NA,NA,NA,25,28,30,32,34,36,40
"396",17,19.9166666666667,1980,30,NA,NA,1223.02,NA,NA,NA,NA,15,18,20,22,24,26,30
"478",18,NA,1945,61,NA,NA,164.6,74.9,NA,NA,NA,50,53,55,57,59,61,65
"371",19,NA,1997,13,NA,746.25,NA,NA,NA,NA,NA,NA,1,3,5,7,9,13
"322",20,16,1985,21,NA,NA,NA,70.62,NA,NA,NA,10,13,15,17,19,21,25
"434",21,NA,1992,18,NA,NA,60.44,NA,NA,NA,NA,3,6,8,10,12,14,18
"48",22,20.6472222222222,1987,23,46.8,57.28,79.04,70.62,106.55,359.31,767.72,8,11,13,15,17,19,23
"21",23,NA,2001,9,NA,NA,NA,1014.36,1410.02,2559.48,4609.43,NA,NA,NA,1,3,5,9
"186",24,18.6222222222222,1980,30,39,51.82,71.6,74.9,294.8,533.06,1120.85,15,18,20,22,24,26,30
"252",25,18,1984,26,NA,NA,NA,NA,NA,NA,505.66,11,14,16,18,20,22,26
"280",26,19.7,1982,28,119.6,205.73,227.83,99.51,313.4,382.94,144.46,13,16,18,20,22,24,28
"412",27,19,1988,22,54.6,93.16,95.19,105.93,128.25,NA,NA,7,10,12,14,16,18,22
"262",28,17.4166666666667,1987,23,NA,NA,212.95,NA,128.25,NA,826.55,8,11,13,15,17,19,23
"465",29,22.5,1978,28,35.1,84.19,178.39,74.9,294.8,NA,NA,17,20,22,24,26,28,32
"194",30,15.0805555555556,1986,24,35.1,76.39,60.44,70.62,84.23,109.61,197.94,9,12,14,16,18,20,24
"266",31,21.4166666666667,1980,30,NA,NA,NA,NA,NA,NA,518.14,15,18,20,22,24,26,30
"437",32,16.7055555555556,1980,30,NA,NA,NA,NA,84.23,99.87,NA,15,18,20,22,24,26,30
"326",33,18.1916666666667,1982,28,NA,746.25,1622.78,NA,NA,3023.75,NA,13,16,18,20,22,24,28
"263",34,17.5,1986,24,NA,NA,NA,NA,NA,NA,197.94,9,12,14,16,18,20,24
"205",35,20.2666666666667,1982,28,35.1,73.27,60.44,792.87,302.24,356.52,666.95,13,16,18,20,22,24,28
"238",36,18.4166666666667,1981,29,35.1,NA,NA,NA,NA,212.46,4359.83,14,17,19,21,23,25,29
"61",37,23.8111111111111,1974,36,37.05,NA,74.87,NA,NA,NA,1826.03,21,24,26,28,30,32,36
"188",38,NA,1998,12,NA,51.82,71.6,74.9,294.8,533.06,1120.85,NA,0,2,4,6,8,12
"190",39,20.1666666666667,1977,33,67.6,130.21,67.88,301.74,111.51,142.96,213.23,18,21,23,25,27,29,33
"41",40,NA,1997,13,NA,76.39,60.44,NA,749.88,1284.64,960.25,NA,1,3,5,7,9,13
"291",41,20.8916666666667,1983,27,37.05,54.55,74.87,237.54,611.23,382.94,567.99,12,15,17,19,21,23,27
"156",42,NA,1995,15,226.2,373.18,228.65,269.64,351.84,730.45,4542.71,0,3,5,7,9,11,15
"411",43,NA,1989,17,NA,NA,60.44,103.79,NA,NA,NA,6,9,11,13,15,17,21
"488",44,NA,1957,49,NA,NA,NA,NA,NA,NA,NA,38,41,43,45,47,49,53
"209",45,15.1805555555556,1987,23,126.1,259.69,265.04,605.62,300.38,683.17,3363.68,8,11,13,15,17,19,23
"495",46,NA,1995,15,NA,NA,283.81,NA,NA,NA,NA,0,3,5,7,9,11,15
"462",47,14,1984,26,NA,NA,NA,792.87,NA,NA,NA,11,14,16,18,20,22,26
"211",48,30.6888888888889,1972,38,NA,NA,NA,NA,1834.82,1904.78,1641.91,23,26,28,30,32,34,38
