"t15nnn","h95a","h98a","h00a","h02a","h04a","h06a","h10a","ttsacks95","ttsacks98","ttsacks00","ttsacks02","ttsacks04","ttsacks06","ttsacks10"
61,"p","p","p","p","p","p","p",9,1.5,11,14,4,13,NA
283,"a","a","a","a","a","a",NA,NA,NA,NA,NA,NA,NA,NA
376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,"p","p","a","p","a","a","a",25.5,16,NA,NA,NA,NA,NA
404,NA,NA,NA,NA,NA,"a","a",NA,NA,NA,NA,NA,NA,NA
1089,"p","p","p","p","p","p","p",2,2,NA,5.5,2,5,13
1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1327,NA,NA,NA,NA,NA,NA,"a",NA,NA,NA,NA,NA,NA,NA
1335,NA,NA,"p","p","a","a",NA,NA,NA,NA,NA,NA,NA,NA
1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,"a",NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,NA,NA,NA,"p","p","a","a",NA,NA,NA,NA,NA,NA,NA
2123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2172,"m","p","p","p","a","tag","a",1.37,2,4.5,1,NA,NA,NA
2223,"p","p","p","p","p","p","p",NA,4,6,1,2.5,14,0
2446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2496,NA,"p","p","p","p","a","a",NA,0.25,4.37,8.5,NA,NA,NA
2547,"p","p","p","p","p","m","p",15,1,25.25,7,36,50,74
2588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2958,"a","p","p","p","m","m","p",NA,8,NA,2.5,NA,NA,10.33
2978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2997,"p","p","p","m","m","m","p",6,16,NA,NA,NA,NA,0
3000,NA,NA,"p","p","p","a","a",NA,NA,NA,NA,NA,NA,NA
3084,NA,NA,NA,"a","a","a",NA,NA,NA,NA,NA,NA,NA,NA
3161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3231,NA,NA,"p","p","p","p","a",NA,NA,5,NA,3,NA,NA
3263,NA,NA,NA,NA,"a","a","a",NA,NA,NA,NA,NA,NA,NA
3518,"p","a","p","a","p","p","p",0.5,NA,11.37,NA,NA,3,3
3712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3776,"p","p","p","p","p","p","p",2,2,NA,5.5,2,6.5,22
3820,"p","m","p","p","p","p","p",4,NA,7,7,6,4.5,NA
3897,NA,NA,NA,NA,NA,"a","a",NA,NA,NA,NA,NA,NA,NA
3923,"m","p","p","p","p","p","p",NA,0,1,2,4.5,NA,NA
4097,"m","p","p","p","p","a","p",NA,0,0,0,1.75,NA,NA
4115,NA,"p","p","p","m","p","p",NA,3.25,0,0,2.5,2.2,25
4135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4473,NA,"p","p","m","p","p","p",NA,0,7.87,NA,NA,NA,NA
4479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4596,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,NA,NA,NA,NA
