"UIyearXhsh10","UIyearXhsh06","UIyearXhsh04","UIyearXhsh02","UIyearXhsh00","UIyearXhsh98","UIyearXhsh95","t15nnn","in_sampled_window","code","b_ord_surv","twinYN","SexN","DOBYR","DOB3","Alive","BritStatus95","h95n","h95a","britstatus98","h98n","h98a","britstatus00","h00n","h00a","britstatus02","h02n","h02a","britstatus04","h04n","h04a","britstatus06","h06n","h06a","britstatus10","h10n","h10a","DecdateYr","COMPLED2010","Cody_c95num","cody_c98num","cody_c00num","cody_c02num","cody_c04num","cody_c06num","cody_c10num","MeT1","MeS1","FBcode","FBx","FBdob3","AFB","emumdecyrest","efadecyrest","BMHHH95","BMHHH98","BMHHH00","BMHHH02","BMHHH04","BMHHH06","BMHHH10","BFHHH95","BFHHH98","BFHHH00","BFHHH02","BFHHH04","BFHHH06","BFHHH10","acused95","ttsacks95","jjunezero95","LstockValField_rdKts95","HsVal_rdKts95","HsTotAsset_rdKts95","SumValue_rdKts95","IWC95","Loiske_rev95","acused98","ttsacks98","jjunezero98","LstockValField_rdKts98","HsVal_rdKts98","HsTotAsset_rdKts98","SumValue_rdKts98","IWC98","Loiske_rev98","acused00","ttsacks00","jjunezero00","LstockValField_rdKts00","HsVal_rdKts00","HsTotAsset_rdKts00","SumValue_rdKts00","IWC00","Loiske_rev00","acused02","ttsacks02","jjunezero02","LstockValField_rdKts02","HsVal_rdKts02","HsTotAsset_rdKts02","SumValue_rdKts02","IWC02","Loiske_rev02","acused04","ttsacks04","jjunezero04","LstockValField_rdKts04","HsVal_rdKts04","HsTotAsset_rdKts04","SumValue_rdKts04","IWC04","Loiske_rev04","acused06","ttsacks06","jjunezero06","LstockValField_rdKts06","HsVal_rdKts06","HsTotAsset_rdKts06","SumValue_rdKts06","IWC06","Loiske_rev06","acused10","ttsacks10","jjunezero10","LstockValField_rdKts10","HsVal_rdKts10","HsTotAsset_rdKts10","SumValue_rdKts10","IWC10","Loiske_rev10","sumnahxxa","delete","sumnacrop","deletecrop","sumnapcrop95","sumnapcrop98","sumnapcrop00","sumnapcrop02","sumnapcrop04","sumnapcrop06","sumnapcrop10","sumnamcrop95","sumnamcrop98","sumnamcrop00","sumnamcrop02","sumnamcrop04","sumnamcrop06","sumnamcrop10","sumnaacrop95","sumnaacrop98","sumnaacrop00","sumnaacrop02","sumnaacrop04","sumnaacrop06","sumnaacrop10","ttsacksabs","cumabs95","cumabs98","cumabs00","cumabs02","cumabs04","cumabs06","cumabs10","cumabsafb","ttsacksmean","cummean95","cummean98","cummean00","cummean02","cummean04","cummean06","cummean10","cummeanafb","ttsackssd","cumsd95","cumsd98","cumsd00","cumsd02","cumsd04","cumsd06","cumsd10","cumsdafb"
2010006,2006006,2004006,2002006,2000006,1998006,1995006,105,1,606,4,0,0,1992,1992-04-01,"a","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p",NA,7,"na","0","0","2","4","5","na","2009","x1",618,"m",2009-09-01,17.4166666666667,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,14,2,237.25,119.6,77.35,434.2,31,14,5,14,99,145.86,169.85,106.86,422.57,31,14,4,10,3,390.6,209.23,71.3,671.13,31,14,3,16,5,561.75,1263.67,129.47,1954.89,32,15,4,29,6,660.3,1545.9,169.87,2376.07,32,15,3,10.5,3,924.35,1833.89,200.17,2958.41,32,15,7,4,0,1008,2881.96,320.89,4210.85,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,14,28,38,54,83,93.5,97.5,93.5,13.9285714285714,14,14,12.6666666666667,13.5,16.6,15.5833333333333,13.9285714285714,15.5833333333333,7.71593897628243,NA,0,2.3094010767585,2.51661147842358,7.26636084983398,6.96000478927038,7.71593897628243,6.96000478927038
2010006,2006006,2004006,2002006,2000006,1998006,1995006,107,1,607,5,0,0,1994,1994-01-01,"a","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p","PARS",6,"p",NA,666,"na","0","0","1","3","5","7",NA,"u",623,"m",2011-01-01,17,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,14,2,237.25,119.6,77.35,434.2,31,14,5,14,99,145.86,169.85,106.86,422.57,31,14,4,10,3,390.6,209.23,71.3,671.13,31,14,3,16,5,561.75,1263.67,129.47,1954.89,32,15,4,29,6,660.3,1545.9,169.87,2376.07,32,15,3,10.5,3,924.35,1833.89,200.17,2958.41,32,15,7,4,0,1008,2881.96,320.89,4210.85,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,14,28,38,54,83,93.5,97.5,97.5,13.9285714285714,14,14,12.6666666666667,13.5,16.6,15.5833333333333,13.9285714285714,13.9285714285714,7.71593897628243,NA,0,2.3094010767585,2.51661147842358,7.26636084983398,6.96000478927038,7.71593897628243,7.71593897628243
2010013,NA,2004039,2002013,2000064,1998064,1995012,194,1,6403,1,0,0,1987,1987-02-03,"d","M-ALONE",12,"p","F-ALONE",64,"p","F-ALONE",64,"p","M-PARS",13,"p","REL",39,"p","U-SPOUSE",39,"a","M-PARS",13,"p",2011,6,"2","4","6","na","na","na","na","2005","x1",3914,"f",2004-06-01,17.3277777777778,NA,2006,1,0,0,0,0,999,999,0,1,1,0,0,999,999,1.5,3,7,0,35.1,0,35.1,11,11,4,13,99,297.18,49.09,61.62,407.89,32,15,5,7.25,4,7.44,60.44,62.15,130.03,31,14,2,4,9,245.03,835.67,182.97,1263.67,31,14,2,26,5,455.08,1545.9,177.32,2178.3,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,4,1195.2,2026.52,202.47,3424.19,22,13,0,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.25,3,16,23.25,27.25,53.25,53.25,62.25,53.25,10.375,3,8,7.75,6.8125,10.65,10.65,10.375,10.65,8.45835385875999,NA,7.07106781186548,5.01871497497118,4.50636124458156,9.4266908297663,9.4266908297663,8.45835385875999,9.4266908297663
2010015,2006015,2004015,2002015,2000015,1998015,1995015,215,1,1506,4,0,0,1985,1985-01-01,"a","PARS",15,"p","PARS",15,"p","PARS",15,"p","PARS",15,"p","PARS",15,"p","PARS",15,"p","PARS",15,"p",NA,7,"0","3","4","6","7","na","na","2012","m1",1513,"f",2012-01-01,27,NA,NA,1,1,1,1,999,999,999,1,1,1,1,999,999,999,4.5,12.5,5,142.35,35.1,77.35,254.8,31,14,3,5,99,113.49,49.09,109.98,272.56,31,14,2,3,3,146.94,60.44,74.58,281.96,31,14,1,6,4,0,70.62,160.5,231.12,31,14,8,20,2,549.32,294.8,177.32,1021.44,32,15,2,11,2,660.25,1833.89,293.29,2787.43,31,14,4,14,1,4156.8,2881.96,336.17,7374.93,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,12.5,17.5,20.5,26.5,46.5,57.5,71.5,71.5,10.2142857142857,12.5,8.75,6.83333333333333,6.625,9.3,9.58333333333333,10.2142857142857,10.2142857142857,5.95718853471126,NA,5.30330085889911,5.00832640043891,4.11045415171284,6.96060342211794,6.26431693536228,5.95718853471126,5.95718853471126
2010021,2006021,2004021,NA,NA,1998021,1995021,301,1,2108,6,0,0,1987,1987-05-18,"a","M-ALONE",21,"p","M-ALONE",21,"p","U-SPOUSE",21,"a","U-SPOUSE",21,"a","M-ALONE",21,"p","U-SPOUSE",21,"p","U-SPOUSE",21,"p",NA,2,"0","0","na","na","na","na","na","2000","x1",2118,"f",2002-08-12,15.2333333333333,NA,1988,1,1,0,0,1,999,999,0,0,0,0,0,999,999,8,11,5,107.25,35.1,0,142.35,12,12,6,1,99,218.79,49.09,16.38,284.26,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,0,84.23,142.6,226.83,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.15,0,12.48,505.66,1138.35,1656.49,31,14,0,"no",3,"no",NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.15,11,12,12,12,14,14,19.15,12,4.7875,11,6,6,6,4.66666666666667,4.66666666666667,4.7875,6,4.50340149220564,NA,7.07106781186548,7.07106781186548,7.07106781186548,5.5075705472861,5.5075705472861,4.50340149220564,7.07106781186548
2010021,NA,NA,NA,NA,NA,NA,312,1,2120,NA,0,0,1996,1996-01-01,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REL",21,"p",NA,2,"na","na","na","na","na","na","na","2010","m1",2121,"f",2011-01-01,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5.15,0,12.48,505.66,1138.35,1656.49,31,14,6,"no",6,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,5.15,5.15,5.15,NA,NA,NA,NA,NA,NA,5.15,5.15,NA,NA,NA,NA,NA,NA,NA,NA,0
2010027,2006027,2004027,2002027,2000027,1998027,NA,360,1,2704,2,0,0,1997,1997-02-20,"a",NA,NA,NA,"PARS",27,"p","PARS",27,"p","PARS",27,"p","PARS",27,"p","PARS",27,"p","PARS",27,"p",NA,666,"na","na","na","0","0","1","5",NA,"u",2711,"f",2014-03-01,17.0305555555556,NA,NA,999,1,1,1,1,1,1,999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,15,99,315.9,49.09,13.26,378.25,22,13,5,11,3,0,60.44,0,60.44,22,13,1,5,4,0,835.67,0,835.67,12,12,1,2,8,0,294.8,0,294.8,11,11,3.5,7,4,0,349.57,9.74,359.31,21,13,4,7,5,0,505.66,0,505.66,11,11,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,15,26,31,33,40,47,47,7.83333333333333,NA,15,13,10.3333333333333,8.25,8,7.83333333333333,7.83333333333333,4.57893728573199,NA,NA,2.82842712474619,5.03322295684717,5.85234995535981,5.09901951359278,4.57893728573199,4.57893728573199
2010029,2006029,2004029,2002029,2000029,1998029,1995029,417,1,2905,3,0,0,1993,1993-10-25,"a","PARS",29,"p","PARS",29,"p","PARS",29,"p","PARS",29,"p","PARS",29,"p","PARS",29,"p","PARS",29,"p",NA,7,"na","0","0","1","2","4","na",NA,"u",2913,"f",2013-08-03,19.7722222222222,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,8,4,25.35,35.1,74.75,135.2,31,14,5.5,9,99,40.95,49.09,51.48,141.52,31,14,4,9,1,37.2,60.44,105.37,203.01,31,14,4,7,10,0,70.62,160.5,231.12,31,14,2,19,7,0,84.23,210.79,295.02,31,14,9,20,6,0,349.57,176.54,526.11,21,13,5,42,6,1411.2,2881.96,588.29,4881.45,32,15,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,8,17,26,33,52,72,114,114,16.2857142857143,8,8.5,8.66666666666667,8.25,10.4,12,16.2857142857143,16.2857142857143,12.539461521058,NA,0.707106781186548,0.577350269189626,0.957427107756338,4.87852436706019,5.86515131944607,12.539461521058,12.539461521058
2010030,NA,NA,NA,2000030,1998030,1995030,428,1,3005,3,0,0,1980,1980-02-20,"a","M-ALONE",30,"p","M-ALONE",30,"p","M-ALONE",30,"p","U-NONREL",30,"a","U-SPOUSE",30,"a","U-SPOUSE",30,"a","M-ALONE",30,"p",NA,7,"7","na","na","na","na","na","na","2002","m1",3014,"m",1997-09-01,17.5305555555556,NA,1988,1,1,999,999,999,999,999,0,0,999,999,999,999,999,2,2.88,5,163.8,119.6,0,283.4,31,14,2.5,0.25,99,2.73,169.85,0,172.58,22,13,2,7.12,4,0,209.23,0,209.23,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3,0,74.88,505.66,53.48,634.02,21,13,0,"no",3,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.25,2.88,3.13,10.25,10.25,10.25,10.25,13.25,2.88,3.3125,2.88,1.565,3.41666666666667,3.41666666666667,3.41666666666667,3.41666666666667,3.3125,2.88,2.83787919639532,NA,1.85969083452062,3.46629966006018,3.46629966006018,3.46629966006018,3.46629966006018,2.83787919639532,0
2010031,2006031,NA,NA,NA,NA,1995031,445,1,3108,6,1,0,1982,1982-01-01,"a","M-ALONE",31,"p","U-F",31,"a","U-F",31,"a","U-F",31,"a","U-SPOUSE",31,"a","M-ALONE",31,"p","M-ALONE",31,"p",NA,7,"na","na","na","na","na","na","na","2003","m1",3113,"m",2000-12-01,18.9166666666667,NA,NA,1,999,999,999,999,999,999,0,1,1,999,999,999,999,1,16.63,NA,5.85,35.1,0,40.95,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,8,396.15,1833.89,43.09,2273.13,22,13,1,3,6,2053.44,2881.96,68.77,5004.17,22,13,0,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.63,16.63,16.63,16.63,16.63,16.63,19.63,22.63,16.63,7.54333333333333,16.63,16.63,16.63,16.63,16.63,9.815,7.54333333333333,16.63,7.8692841690546,NA,NA,NA,NA,NA,9.63786542757264,7.8692841690546,0
