"","id","order","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"1",111,20,NA,1996,14,NA,517.87,529.16,945.88,1779.7,4974.61,13901.33,NA,2,4,6,8,10,14
"2",109,8,NA,1993,17,545.35,517.87,529.16,945.88,1779.7,3928.41,13901.33,2,5,7,9,11,13,17
"3",213,30,NA,1998,12,NA,54.55,67.88,344.55,NA,NA,219.34,NA,0,2,4,6,8,12
"4",309,48,NA,1996,14,NA,326.38,281.13,253.59,581.24,349.57,1614.97,NA,2,4,6,8,10,14
"5",311,51,NA,2002,8,NA,NA,NA,253.59,581.24,349.57,1614.97,NA,NA,NA,0,2,4,8
"6",310,49,NA,2000,10,NA,NA,NA,253.59,581.24,349.57,1614.97,NA,NA,0,2,4,6,10
"7",406,61,19.1694444444444,1993,NA,127.4,218.6,402.67,411.95,305.96,133.24,NA,2,5,7,9,11,13,17
"8",606,105,17.4166666666667,1992,NA,434.2,422.57,671.13,1954.89,2376.07,2958.41,4210.85,3,6,8,10,12,14,18
"9",607,107,17,1994,NA,434.2,422.57,671.13,1954.89,2376.07,2958.41,4210.85,1,4,6,8,10,12,16
"10",615,115,NA,2001,9,NA,NA,NA,1954.89,NA,2958.41,4210.85,NA,NA,NA,1,3,5,9
"11",613,114,NA,1999,11,NA,NA,NA,1954.89,2376.07,2958.41,4210.85,NA,NA,1,3,5,7,11
"12",612,113,NA,1999,11,NA,NA,671.13,1954.89,2376.07,2958.41,4210.85,NA,NA,1,3,5,7,11
"13",1014,158,NA,2002,8,NA,NA,NA,1399.56,1989.8,2520.56,6741.51,NA,NA,NA,0,2,4,8
"14",1005,152,NA,1989,21,680.55,885.91,1223.02,1399.56,1989.8,2520.56,6741.51,6,9,11,13,15,17,21
"15",6403,194,17.3277777777778,1987,NA,35.1,407.89,130.03,1263.67,2178.3,NA,3424.19,8,11,13,15,17,19,23
"16",1203,189,NA,1992,18,35.1,NA,NA,NA,NA,2869.25,3424.19,3,6,8,10,12,14,18
"17",24703,185,NA,1998,12,NA,538.93,60.44,70.62,2136.74,2869.25,3424.19,NA,0,2,4,6,8,12
"18",1507,217,NA,1988,22,254.8,272.56,281.96,231.12,1021.44,2787.43,7374.93,7,10,12,14,16,18,22
"19",1508,218,NA,1991,19,254.8,272.56,281.96,231.12,1021.44,2787.43,7374.93,4,7,9,11,13,15,19
"20",1506,215,27,1985,NA,254.8,272.56,281.96,231.12,1021.44,2787.43,7374.93,10,13,15,17,19,21,25
"21",1608,229,NA,1998,12,NA,247.85,295.41,269.64,1348.03,2517.55,7030.1,NA,0,2,4,6,8,12
"22",1808,261,NA,1997,13,NA,603.51,804.56,1014.36,1410.02,2559.48,4609.43,NA,1,3,5,7,9,13
"23",1812,265,NA,2002,8,NA,NA,NA,NA,1410.02,NA,4609.43,NA,NA,NA,0,2,4,8
"24",1811,264,NA,2001,9,NA,NA,NA,1014.36,1410.02,2559.48,4609.43,NA,NA,NA,1,3,5,9
"25",1907,280,NA,1994,16,625.95,901.51,1117.44,659.12,623.38,642.86,4344.55,1,4,6,8,10,12,16
"26",2120,312,15,1996,NA,NA,NA,NA,NA,NA,NA,1656.49,NA,2,4,6,8,10,14
"27",2108,301,15.2333333333333,1987,NA,142.35,284.26,NA,NA,226.83,NA,1656.49,8,11,13,15,17,19,23
"28",2706,362,NA,1999,11,NA,NA,60.44,835.67,NA,359.31,505.66,NA,NA,1,3,5,7,11
"29",2704,360,17.0305555555556,1997,NA,NA,378.25,60.44,835.67,294.8,359.31,505.66,NA,1,3,5,7,9,13
"30",2708,364,NA,2001,9,NA,NA,NA,835.67,294.8,359.31,505.66,NA,NA,NA,1,3,5,9
"31",2816,378,NA,1993,17,287.95,321.17,NA,854.94,NA,1608.92,NA,2,5,7,9,11,13,17
"32",2906,419,NA,1996,14,NA,141.52,203.01,231.12,295.02,526.11,4881.45,NA,2,4,6,8,10,14
"33",2905,417,19.7722222222222,1993,NA,135.2,141.52,203.01,231.12,295.02,526.11,4881.45,2,5,7,9,11,13,17
"34",2907,420,NA,1998,12,NA,NA,203.01,231.12,295.02,526.11,4881.45,NA,0,2,4,6,8,12
"35",3005,428,17.5305555555556,1980,NA,283.4,172.58,209.23,NA,NA,NA,634.02,15,18,20,22,24,26,30
"36",3108,445,18.9166666666667,1982,NA,40.95,NA,NA,NA,NA,2273.13,5004.17,13,16,18,20,22,24,28
"37",4004,528,NA,1995,15,118.3,49.09,60.44,177.62,437.4,549.74,1267.19,0,3,5,7,9,11,15
